zip,Zipcode name,City,State,County Name
49610,"ACME, MI",ACME,MI,GRAND TRAVERSE
49301,"ADA, MI",ADA,MI,KENT
49355,"ADA, MI",ADA,MI,KENT
49356,"ADA, MI",ADA,MI,KENT
49220,"ADDISON, MI",ADDISON,MI,LENAWEE
49221,"ADRIAN, MI",ADRIAN,MI,LENAWEE
49705,"AFTON, MI",AFTON,MI,CHEBOYGAN
49901,"AHMEEK, MI",AHMEEK,MI,KEWEENAW
48701,"AKRON, MI",AKRON,MI,TUSCOLA
49706,"ALANSON, MI",ALANSON,MI,EMMET
49611,"ALBA, MI",ALBA,MI,ANTRIM
49224,"ALBION, MI",ALBION,MI,CALHOUN
49612,"ALDEN, MI",ALDEN,MI,ANTRIM
48610,"ALGER, MI",ALGER,MI,ARENAC
48001,"ALGONAC, MI",ALGONAC,MI,SAINT CLAIR
49010,"ALLEGAN, MI",ALLEGAN,MI,ALLEGAN
49227,"ALLEN, MI",ALLEN,MI,HILLSDALE
48101,"ALLEN PARK, MI",ALLEN PARK,MI,WAYNE
49401,"ALLENDALE, MI",ALLENDALE,MI,OTTAWA
48002,"ALLENTON, MI",ALLENTON,MI,SAINT CLAIR
49805,"ALLOUEZ, MI",ALLOUEZ,MI,KEWEENAW
48801,"ALMA, MI",ALMA,MI,GRATIOT
48003,"ALMONT, MI",ALMONT,MI,LAPEER
49707,"ALPENA, MI",ALPENA,MI,ALPENA
49902,"ALPHA, MI",ALPHA,MI,IRON
49302,"ALTO, MI",ALTO,MI,KENT
49903,"AMASA, MI",AMASA,MI,IRON
48004,"ANCHORVILLE, MI",ANCHORVILLE,MI,SAINT CLAIR
48103,"ANN ARBOR, MI",ANN ARBOR,MI,WASHTENAW
48104,"ANN ARBOR, MI",ANN ARBOR,MI,WASHTENAW
48105,"ANN ARBOR, MI",ANN ARBOR,MI,WASHTENAW
48106,"ANN ARBOR, MI",ANN ARBOR,MI,WASHTENAW
48107,"ANN ARBOR, MI",ANN ARBOR,MI,WASHTENAW
48108,"ANN ARBOR, MI",ANN ARBOR,MI,WASHTENAW
48109,"ANN ARBOR, MI",ANN ARBOR,MI,WASHTENAW
48113,"ANN ARBOR, MI",ANN ARBOR,MI,WASHTENAW
48401,"APPLEGATE, MI",APPLEGATE,MI,SANILAC
49613,"ARCADIA, MI",ARCADIA,MI,MANISTEE
48410,"ARGYLE, MI",ARGYLE,MI,SANILAC
48005,"ARMADA, MI",ARMADA,MI,MACOMB
49819,"ARNOLD, MI",ARNOLD,MI,MARQUETTE
48806,"ASHLEY, MI",ASHLEY,MI,GRATIOT
49011,"ATHENS, MI",ATHENS,MI,CALHOUN
49709,"ATLANTA, MI",ATLANTA,MI,MONTMORENCY
49905,"ATLANTIC MINE, MI",ATLANTIC MINE,MI,HOUGHTON
48411,"ATLAS, MI",ATLAS,MI,GENESEE
48412,"ATTICA, MI",ATTICA,MI,LAPEER
48703,"AU GRES, MI",AU GRES,MI,ARENAC
